city,date,temperature,humidity,wind_speed,pressure,rainfall,temp_lag_1,rain_lag_1,humidity_lag_1,temp_roll_3,rain_roll_3,hour,day,month,dayofweek,is_monsoon,temp_lag_24,rain_lag_24,temp_roll_24,rain_roll_72,is_peak_heat
Abbottabad,2026-04-23 13:00:00,30.9,56,30.2,1006.0,0.0,30.4,0.0,58.0,30.333333333333332,0.0,13,23,4,3,0,30.2,0.0,27.516666666666666,0.0,1
Abbottabad,2026-04-23 14:00:00,30.9,56,31.3,1006.0,0.0,30.9,0.0,56.0,30.73333333333333,0.0,14,23,4,3,0,30.3,0.0,27.541666666666668,0.0,1
Abbottabad,2026-04-23 15:00:00,30.7,57,32.4,1005.0,0.0,30.9,0.0,56.0,30.833333333333332,0.0,15,23,4,3,0,30.1,0.0,27.566666666666666,0.0,1
Abbottabad,2026-04-23 16:00:00,30.4,57,32.0,1005.0,0.0,30.7,0.0,57.0,30.666666666666668,0.0,16,23,4,3,0,29.7,0.0,27.59583333333333,0.0,1
Abbottabad,2026-04-23 17:00:00,29.8,60,31.3,1005.0,0.0,30.4,0.0,57.0,30.3,0.0,17,23,4,3,0,29.1,0.0,27.625,0.0,0
Abbottabad,2026-04-23 18:00:00,28.7,65,29.9,1005.0,0.0,29.8,0.0,60.0,29.63333333333333,0.0,18,23,4,3,0,28.3,0.0,27.641666666666666,0.0,0
Abbottabad,2026-04-23 19:00:00,27.7,72,27.7,1006.0,0.0,28.7,0.0,65.0,28.733333333333334,0.0,19,23,4,3,0,27.3,0.0,27.65833333333333,0.0,0
Abbottabad,2026-04-23 20:00:00,27.1,77,26.3,1006.0,0.0,27.7,0.0,72.0,27.833333333333332,0.0,20,23,4,3,0,26.7,0.0,27.674999999999997,0.0,0
Abbottabad,2026-04-23 21:00:00,26.9,79,25.6,1006.0,0.0,27.1,0.0,77.0,27.23333333333333,0.0,21,23,4,3,0,26.6,0.0,27.6875,0.0,0
Abbottabad,2026-04-23 22:00:00,26.6,82,24.5,1007.0,0.0,26.9,0.0,79.0,26.866666666666664,0.0,22,23,4,3,0,26.4,0.0,27.69583333333333,0.0,0
Abbottabad,2026-04-23 23:00:00,26.4,84,24.8,1007.0,0.0,26.6,0.0,82.0,26.633333333333336,0.0,23,23,4,3,0,26.3,0.0,27.7,0.0,0
Abbottabad,2026-04-24 00:00:00,26.0,85,18.0,1007.0,0.0,26.4,0.0,84.0,26.333333333333332,0.0,0,24,4,4,0,26.3,0.0,27.6875,0.0,0
Abbottabad,2026-04-24 01:00:00,25.8,87,21.6,1006.0,0.0,26.0,0.0,85.0,26.066666666666666,0.0,1,24,4,4,0,26.1,0.0,27.675,0.0,0
Abbottabad,2026-04-24 02:00:00,25.6,89,23.0,1006.0,0.0,25.8,0.0,87.0,25.8,0.0,2,24,4,4,0,25.9,0.0,27.662499999999998,0.0,0
Abbottabad,2026-04-24 03:00:00,25.4,90,20.9,1006.0,0.0,25.6,0.0,89.0,25.599999999999998,0.0,3,24,4,4,0,25.6,0.0,27.65416666666667,0.0,0
Abbottabad,2026-04-24 04:00:00,25.3,90,18.0,1006.0,0.0,25.4,0.0,90.0,25.433333333333337,0.0,4,24,4,4,0,25.5,0.0,27.645833333333332,0.0,0
Abbottabad,2026-04-24 05:00:00,25.2,90,19.4,1006.0,0.0,25.3,0.0,90.0,25.299999999999997,0.0,5,24,4,4,0,25.4,0.0,27.6375,0.0,0
Abbottabad,2026-04-24 06:00:00,25.1,91,19.1,1007.0,0.0,25.2,0.0,90.0,25.200000000000003,0.0,6,24,4,4,0,25.2,0.0,27.633333333333336,0.0,0
Abbottabad,2026-04-24 07:00:00,25.4,89,19.4,1007.0,0.0,25.1,0.0,91.0,25.233333333333334,0.0,7,24,4,4,0,25.6,0.0,27.625,0.0,0
Abbottabad,2026-04-24 08:00:00,26.6,80,22.0,1008.0,0.0,25.4,0.0,89.0,25.7,0.0,8,24,4,4,0,26.5,0.0,27.629166666666666,0.0,0
Abbottabad,2026-04-24 09:00:00,28.0,71,24.1,1008.0,0.0,26.6,0.0,80.0,26.666666666666668,0.0,9,24,4,4,0,27.7,0.0,27.641666666666666,0.0,0
Abbottabad,2026-04-24 10:00:00,29.3,66,26.6,1008.0,0.0,28.0,0.0,71.0,27.96666666666667,0.0,10,24,4,4,0,28.8,0.0,27.662499999999998,0.0,0
Abbottabad,2026-04-24 11:00:00,30.4,60,27.7,1008.0,0.0,29.3,0.0,66.0,29.233333333333334,0.0,11,24,4,4,0,29.7,0.0,27.691666666666663,0.0,0
Abbottabad,2026-04-24 12:00:00,31.2,57,28.4,1007.0,0.0,30.4,0.0,60.0,30.3,0.0,12,24,4,4,0,30.4,0.0,27.724999999999998,0.0,1
Abbottabad,2026-04-24 13:00:00,31.6,55,29.9,1006.0,0.0,31.2,0.0,57.0,31.066666666666666,0.0,13,24,4,4,0,30.9,0.0,27.754166666666666,0.0,1
Abbottabad,2026-04-24 14:00:00,31.7,55,30.2,1006.0,0.0,31.6,0.0,55.0,31.5,0.0,14,24,4,4,0,30.9,0.0,27.787499999999998,0.0,1
Abbottabad,2026-04-24 15:00:00,31.4,56,29.2,1005.0,0.0,31.7,0.0,55.0,31.566666666666663,0.0,15,24,4,4,0,30.7,0.0,27.816666666666663,0.0,1
Abbottabad,2026-04-24 16:00:00,30.9,57,28.4,1005.0,0.0,31.4,0.0,56.0,31.333333333333332,0.0,16,24,4,4,0,30.4,0.0,27.837500000000002,0.0,1
Abbottabad,2026-04-24 17:00:00,30.1,60,27.7,1005.0,0.0,30.9,0.0,57.0,30.8,0.0,17,24,4,4,0,29.8,0.0,27.850000000000005,0.0,0
Abbottabad,2026-04-24 18:00:00,29.0,66,27.4,1005.0,0.0,30.1,0.0,60.0,30.0,0.0,18,24,4,4,0,28.7,0.0,27.8625,0.0,0
Abbottabad,2026-04-24 19:00:00,27.9,73,25.9,1006.0,0.0,29.0,0.0,66.0,29.0,0.0,19,24,4,4,0,27.7,0.0,27.870833333333334,0.0,0
Abbottabad,2026-04-24 20:00:00,27.2,78,24.1,1006.0,0.0,27.9,0.0,73.0,28.03333333333333,0.0,20,24,4,4,0,27.1,0.0,27.875,0.0,0
Abbottabad,2026-04-24 21:00:00,27.0,79,20.2,1007.0,0.0,27.2,0.0,78.0,27.366666666666664,0.0,21,24,4,4,0,26.9,0.0,27.879166666666663,0.0,0
Abbottabad,2026-04-24 22:00:00,26.8,81,20.5,1008.0,0.0,27.0,0.0,79.0,27.0,0.0,22,24,4,4,0,26.6,0.0,27.887500000000003,0.0,0
Abbottabad,2026-04-24 23:00:00,26.6,82,18.4,1008.0,0.0,26.8,0.0,81.0,26.8,0.0,23,24,4,4,0,26.4,0.0,27.895833333333332,0.0,0
Bahawalpur,2026-04-21 01:00:00,31.1,18,1.1,1004.0,0.0,31.6,0.0,18.0,32.199999999999996,0.0,1,21,4,1,0,30.4,0.0,34.637499999999996,0.0,0
Bahawalpur,2026-04-21 02:00:00,30.8,18,2.5,1004.0,0.0,31.1,0.0,18.0,31.166666666666668,0.0,2,21,4,1,0,29.8,0.0,34.67916666666667,0.0,0
Bahawalpur,2026-04-21 03:00:00,30.6,18,3.6,1004.0,0.0,30.8,0.0,18.0,30.833333333333332,0.0,3,21,4,1,0,29.0,0.0,34.74583333333333,0.0,0
Bahawalpur,2026-04-21 04:00:00,30.0,19,5.0,1004.0,0.0,30.6,0.0,18.0,30.466666666666665,0.0,4,21,4,1,0,28.3,0.0,34.81666666666667,0.0,0
Bahawalpur,2026-04-21 05:00:00,28.9,21,7.2,1004.0,0.0,30.0,0.0,19.0,29.833333333333332,0.0,5,21,4,1,0,28.0,0.0,34.854166666666664,0.0,0
Bahawalpur,2026-04-21 06:00:00,28.1,22,7.9,1005.0,0.0,28.9,0.0,21.0,28.999999999999996,0.0,6,21,4,1,0,27.8,0.0,34.86666666666667,0.0,0
Bahawalpur,2026-04-21 07:00:00,30.0,20,7.2,1006.0,0.0,28.1,0.0,22.0,28.999999999999996,0.0,7,21,4,1,0,29.7,0.0,34.87916666666667,0.0,0
Bahawalpur,2026-04-21 08:00:00,32.8,17,4.7,1006.0,0.0,30.0,0.0,20.0,30.299999999999997,0.0,8,21,4,1,0,32.5,0.0,34.89166666666667,0.0,0
Bahawalpur,2026-04-21 09:00:00,35.0,14,3.6,1006.0,0.0,32.8,0.0,17.0,32.599999999999994,0.0,9,21,4,1,0,34.9,0.0,34.895833333333336,0.0,0
Bahawalpur,2026-04-21 10:00:00,36.8,13,4.7,1006.0,0.0,35.0,0.0,14.0,34.86666666666666,0.0,10,21,4,1,0,36.7,0.0,34.9,0.0,0
Bahawalpur,2026-04-21 11:00:00,38.8,11,10.1,1006.0,0.0,36.8,0.0,13.0,36.86666666666666,0.0,11,21,4,1,0,37.9,0.0,34.9375,0.0,0
Bahawalpur,2026-04-21 12:00:00,40.3,10,14.4,1005.0,0.0,38.8,0.0,11.0,38.633333333333326,0.0,12,21,4,1,0,38.9,0.0,34.99583333333333,0.0,1
Bahawalpur,2026-04-21 13:00:00,41.2,9,16.9,1004.0,0.0,40.3,0.0,10.0,40.099999999999994,0.0,13,21,4,1,0,39.6,0.0,35.0625,0.0,1
Bahawalpur,2026-04-21 14:00:00,41.6,8,15.8,1003.0,0.0,41.2,0.0,9.0,41.03333333333333,0.0,14,21,4,1,0,40.0,0.0,35.12916666666667,0.0,1
Bahawalpur,2026-04-21 15:00:00,41.7,8,15.5,1002.0,0.0,41.6,0.0,8.0,41.5,0.0,15,21,4,1,0,40.2,0.0,35.19166666666667,0.0,1
Bahawalpur,2026-04-21 16:00:00,41.6,8,15.8,1002.0,0.0,41.7,0.0,8.0,41.63333333333333,0.0,16,21,4,1,0,40.1,0.0,35.25416666666667,0.0,1
Bahawalpur,2026-04-21 17:00:00,41.1,8,15.1,1002.0,0.0,41.6,0.0,8.0,41.46666666666666,0.0,17,21,4,1,0,39.9,0.0,35.30416666666667,0.0,0
Bahawalpur,2026-04-21 18:00:00,39.9,8,13.3,1002.0,0.0,41.1,0.0,8.0,40.86666666666667,0.0,18,21,4,1,0,39.2,0.0,35.333333333333336,0.0,0
Bahawalpur,2026-04-21 19:00:00,36.9,10,12.6,1002.0,0.0,39.9,0.0,8.0,39.29999999999999,0.0,19,21,4,1,0,36.8,0.0,35.3375,0.0,0
Bahawalpur,2026-04-21 20:00:00,35.6,11,12.2,1003.0,0.0,36.9,0.0,10.0,37.46666666666666,0.0,20,21,4,1,0,35.9,0.0,35.325,0.0,0
Bahawalpur,2026-04-21 21:00:00,34.8,12,11.9,1003.0,0.0,35.6,0.0,11.0,35.76666666666666,0.0,21,21,4,1,0,35.1,0.0,35.3125,0.0,0
Bahawalpur,2026-04-21 22:00:00,33.9,13,11.2,1004.0,0.0,34.8,0.0,12.0,34.76666666666666,0.0,22,21,4,1,0,34.4,0.0,35.291666666666664,0.0,0
Bahawalpur,2026-04-21 23:00:00,33.1,14,10.1,1004.0,0.0,33.9,0.0,13.0,33.93333333333333,0.0,23,21,4,1,0,33.9,0.0,35.25833333333333,0.0,0
Bahawalpur,2026-04-22 00:00:00,33.0,14,9.7,1004.0,0.0,33.1,0.0,14.0,33.33333333333333,0.0,0,22,4,2,0,31.6,0.0,35.31666666666667,0.0,0
Bahawalpur,2026-04-22 01:00:00,32.4,15,10.1,1003.0,0.0,33.0,0.0,14.0,32.833333333333336,0.0,1,22,4,2,0,31.1,0.0,35.37083333333333,0.0,0
Bahawalpur,2026-04-22 02:00:00,31.9,16,10.8,1003.0,0.0,32.4,0.0,15.0,32.43333333333333,0.0,2,22,4,2,0,30.8,0.0,35.416666666666664,0.0,0
Bahawalpur,2026-04-22 03:00:00,31.3,17,13.0,1003.0,0.0,31.9,0.0,16.0,31.86666666666666,0.0,3,22,4,2,0,30.6,0.0,35.44583333333333,0.0,0
Bahawalpur,2026-04-22 04:00:00,30.5,18,12.2,1003.0,0.0,31.3,0.0,17.0,31.23333333333333,0.0,4,22,4,2,0,30.0,0.0,35.46666666666667,0.0,0
Bahawalpur,2026-04-22 05:00:00,30.1,18,13.7,1004.0,0.0,30.5,0.0,18.0,30.63333333333333,0.0,5,22,4,2,0,28.9,0.0,35.51666666666667,0.0,0
Bahawalpur,2026-04-22 06:00:00,29.8,18,14.8,1004.0,0.0,30.1,0.0,18.0,30.13333333333333,0.0,6,22,4,2,0,28.1,0.0,35.5875,0.0,0
Bahawalpur,2026-04-22 07:00:00,31.4,16,18.0,1005.0,0.0,29.8,0.0,18.0,30.433333333333326,0.0,7,22,4,2,0,30.0,0.0,35.645833333333336,0.0,0
Bahawalpur,2026-04-22 08:00:00,33.7,17,23.8,1005.0,0.0,31.4,0.0,16.0,31.633333333333326,0.0,8,22,4,2,0,32.8,0.0,35.68333333333333,0.0,0
Bahawalpur,2026-04-22 09:00:00,36.4,16,24.8,1005.0,0.0,33.7,0.0,17.0,33.83333333333333,0.0,9,22,4,2,0,35.0,0.0,35.74166666666667,0.0,0
Bahawalpur,2026-04-22 10:00:00,38.8,14,24.8,1005.0,0.0,36.4,0.0,16.0,36.3,0.0,10,22,4,2,0,36.8,0.0,35.824999999999996,0.0,0
Bahawalpur,2026-04-22 11:00:00,40.5,12,23.8,1005.0,0.0,38.8,0.0,14.0,38.56666666666666,0.0,11,22,4,2,0,38.8,0.0,35.895833333333336,0.0,0
Bahawalpur,2026-04-22 12:00:00,41.5,10,23.8,1004.0,0.0,40.5,0.0,12.0,40.26666666666666,0.0,12,22,4,2,0,40.3,0.0,35.94583333333333,0.0,1
Bahawalpur,2026-04-22 13:00:00,42.1,9,23.8,1003.0,0.0,41.5,0.0,10.0,41.36666666666667,0.0,13,22,4,2,0,41.2,0.0,35.983333333333334,0.0,1
Bahawalpur,2026-04-22 14:00:00,42.3,9,23.0,1002.0,0.0,42.1,0.0,9.0,41.96666666666666,0.0,14,22,4,2,0,41.6,0.0,36.0125,0.0,1
Bahawalpur,2026-04-22 15:00:00,42.2,9,22.0,1001.0,0.0,42.3,0.0,9.0,42.199999999999996,0.0,15,22,4,2,0,41.7,0.0,36.03333333333333,0.0,1
Bahawalpur,2026-04-22 16:00:00,41.9,9,21.2,1001.0,0.0,42.2,0.0,9.0,42.13333333333333,0.0,16,22,4,2,0,41.6,0.0,36.04583333333333,0.0,1
Bahawalpur,2026-04-22 17:00:00,41.3,9,20.5,1000.0,0.0,41.9,0.0,9.0,41.8,0.0,17,22,4,2,0,41.1,0.0,36.05416666666667,0.0,0
Bahawalpur,2026-04-22 18:00:00,40.2,10,19.4,1001.0,0.0,41.3,0.0,9.0,41.13333333333333,0.0,18,22,4,2,0,39.9,0.0,36.06666666666666,0.0,0
Bahawalpur,2026-04-22 19:00:00,37.3,12,16.6,1001.0,0.0,40.2,0.0,10.0,39.599999999999994,0.0,19,22,4,2,0,36.9,0.0,36.083333333333336,0.0,0
Bahawalpur,2026-04-22 20:00:00,36.1,12,16.6,1002.0,0.0,37.3,0.0,12.0,37.86666666666667,0.0,20,22,4,2,0,35.6,0.0,36.104166666666664,0.0,0
Bahawalpur,2026-04-22 21:00:00,35.2,13,18.0,1002.0,0.0,36.1,0.0,12.0,36.199999999999996,0.0,21,22,4,2,0,34.8,0.0,36.12083333333333,0.0,0
Bahawalpur,2026-04-22 22:00:00,34.7,13,20.2,1003.0,0.0,35.2,0.0,13.0,35.333333333333336,0.0,22,22,4,2,0,33.9,0.0,36.15416666666667,0.0,0
Bahawalpur,2026-04-22 23:00:00,34.0,13,21.6,1003.0,0.0,34.7,0.0,13.0,34.63333333333333,0.0,23,22,4,2,0,33.1,0.0,36.19166666666667,0.0,0
Bahawalpur,2026-04-23 00:00:00,33.3,14,17.6,1003.0,0.0,34.0,0.0,13.0,33.99999999999999,0.0,0,23,4,3,0,33.0,0.0,36.204166666666666,0.0,0
Bahawalpur,2026-04-23 01:00:00,32.4,13,17.6,1002.0,0.0,33.3,0.0,14.0,33.23333333333333,0.0,1,23,4,3,0,32.4,0.0,36.204166666666666,0.0,0
Bahawalpur,2026-04-23 02:00:00,31.4,13,16.6,1002.0,0.0,32.4,0.0,13.0,32.36666666666667,0.0,2,23,4,3,0,31.9,0.0,36.18333333333334,0.0,0
